Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_065.jpg;0;0.3036455;0;1.741058;103.8038;70.84397;359.5963;284.2005;0.04174596
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_132.jpg;0;0.5021455;0;1.755144;103.8295;70.74232;359.5678;284.1987;0.02173514
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_199.jpg;0;0.6978353;0;1.776392;103.8647;70.60318;359.6268;284.1985;-0.00164548
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_266.jpg;0;0.9054042;0;1.805697;103.892;70.49524;359.7556;284.1986;359.9827
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_331.jpg;0;1;0;1.859451;103.9203;70.38358;359.9627;284.1987;359.9688
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_398.jpg;0;1;0;1.902621;103.9594;70.2291;0.3397671;284.1989;359.9533
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_467.jpg;0;1;0;1.945958;103.9901;70.11012;0.6392423;284.213;359.9815
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_531.jpg;0;1;0;2.004635;104.021;69.98836;0.944505;284.2153;-0.0005528535
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_599.jpg;0;1;0;2.048794;104.0626;69.82217;1.333646;284.2031;-0.00122946
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_666.jpg;0;1;0;2.090857;104.0934;69.69878;1.391675;284.1858;-0.003799706
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_731.jpg;0;0.8968785;0;2.162073;104.1243;69.57463;1.287764;284.1713;-0.0006836317
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_799.jpg;1.99161;0.6996738;0;2.199054;104.1669;69.4052;1.193036;284.2512;0.003166719
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_867.jpg;0;0.4977252;0;2.225893;104.1993;69.27619;1.138343;284.2955;-0.0006231109
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_931.jpg;0;0.2945347;0;2.246804;104.2319;69.14639;1.080875;284.2933;-0.0005016546
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_995.jpg;0;0.1091538;0;2.25204;104.2645;69.01659;1.005235;284.2831;-0.0004127563
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_065.jpg;0;0;0;2.247768;104.3076;68.84468;0.8589277;284.2682;-0.0002376692
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_132.jpg;0;0;0;2.238678;104.3397;68.71671;0.7208559;284.2576;-2.888385E-06
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_201.jpg;0;0;0;2.231545;104.3823;68.54715;0.5139294;284.2467;0.006025476
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_262.jpg;1.508425;0;0;2.224348;104.4148;68.42081;0.3492653;284.3185;0.02890791
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_330.jpg;4.277592;0;0;2.216641;104.4491;68.29559;0.1780476;284.6764;0.09718058
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_399.jpg;7.293519;0;0;2.204972;104.4987;68.13055;359.9526;285.6202;0.2575447
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_467.jpg;4.089797;0.1038666;0;2.195888;104.5369;68.00674;359.8343;286.2801;0.3530916
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_532.jpg;1.133482;0.3009543;0;2.194659;104.5751;67.88219;359.755;286.6606;0.4143314
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_601.jpg;0;0.5017041;0;2.204099;104.6256;67.71351;359.727;286.7564;0.4348826
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_667.jpg;0;0.7007933;0;2.222129;104.6642;67.58447;359.7759;286.7612;0.4320015
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_732.jpg;0;0.9000877;0;2.260527;104.7038;67.45264;359.8889;286.7615;0.4231243
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_800.jpg;0;1;0;2.299799;104.7582;67.27155;0.1494682;286.7603;0.3996719
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_865.jpg;0;1;0;2.341536;104.7998;67.13201;0.394178;286.7506;0.3537559
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_53_933.jpg;0;1;0;2.397887;104.8421;66.98969;0.6579489;286.7371;0.2829438
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_001.jpg;0;1;0;2.440144;104.8996;66.79574;1.030233;286.7142;0.1625766
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_067.jpg;0;1;0;2.482465;104.9432;66.64746;1.301111;286.6828;0.04415431
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_133.jpg;0;1;0;2.538649;104.9879;66.49977;1.41704;286.6925;359.9932
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_200.jpg;0;1;0;2.590579;105.0475;66.30231;1.320143;286.6529;-0.001164509
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_267.jpg;0;1;0;2.633959;105.0925;66.15044;1.289628;286.6389;-0.001029578
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_333.jpg;0;1;0;2.689261;105.1383;65.99551;1.295169;286.6245;-0.000846386
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_400.jpg;0;0.8967041;0;2.730695;105.2004;65.78458;1.344301;286.6028;-0.000884833
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_466.jpg;0;0.696061;0;2.76586;105.2474;65.6245;1.356933;286.5867;-0.001380112
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_532.jpg;0;0.4960195;0;2.800562;105.2946;65.46362;1.33351;286.5723;-0.0007393948
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_601.jpg;0;0.2972772;0;2.814328;105.3576;65.2484;1.272381;286.5493;-0.0006402881
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_667.jpg;0;0.09969479;0;2.819623;105.4047;65.0874;1.189234;286.5316;-0.0005598359
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_732.jpg;0;0;0;2.812238;105.4515;64.92744;1.066281;286.5146;-0.0003886544
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_801.jpg;0;0;0;2.80335;105.5133;64.71583;0.8522096;286.4936;-5.028482E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_868.jpg;0;0.1022716;0;2.79447;105.5595;64.55802;0.6697556;286.4795;0.001649457
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_54_934.jpg;0;0.2997658;0;2.791243;105.6057;64.40025;0.4910802;286.4685;0.00856423
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_002.jpg;0;0.5001091;0;2.799179;105.6678;64.18841;0.2961704;286.4575;0.02226463
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_068.jpg;0;0.6985434;0;2.815301;105.715;64.02741;0.2031746;286.4507;0.03202581
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_134.jpg;-1.510304;0.9016991;0;2.851175;105.7628;63.86375;0.1693683;286.4138;0.0327299
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_202.jpg;-4.470807;1;0;2.887857;105.8248;63.63961;0.2264648;285.8912;359.9698
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_266.jpg;-1.47591;1;0;2.927146;105.8717;63.46769;0.3268221;285.4916;359.9344
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_333.jpg;0;1;0;2.980588;105.9202;63.29295;0.4705018;285.3701;359.9333
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_402.jpg;0;1;0;3.020554;105.9862;63.05557;0.7107245;285.3531;359.9572
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_467.jpg;0;1;0;3.060566;106.0367;62.87444;0.9152968;285.3673;359.9919
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_533.jpg;0;1;0;3.114127;106.0872;62.69066;1.128043;285.3694;-0.001810511
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_601.jpg;1.516801;1;0;3.15433;106.1556;62.44217;1.399985;285.4327;-0.002332659
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_668.jpg;4.565213;1;0;3.193109;106.2085;62.25641;1.434067;285.8188;359.9932
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_733.jpg;7.526055;1;0;3.253301;106.2649;62.07059;1.37093;286.5956;0.002005034
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_800.jpg;4.545999;1;0;3.292998;106.3455;61.8206;1.289459;287.734;0.06108352
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_868.jpg;1.53663;1;0;3.332556;106.4075;61.63044;1.242801;288.2467;0.09368958
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_55_933.jpg;0;1;0;3.385865;106.4702;61.43745;1.224755;288.4044;0.108947
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_002.jpg;0;1;0;3.424375;106.5551;61.17616;1.233291;288.4168;0.1032195
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_068.jpg;0;1;0;3.464161;106.6199;60.97721;1.263763;288.3947;0.08295429
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_151.jpg;0;1;0;3.515375;106.7075;60.70799;1.332428;288.3513;0.0316242
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_219.jpg;0;1;0;3.567448;106.797;60.43466;1.422058;288.3217;-0.002768934
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_283.jpg;0;1;0;3.60575;106.8649;60.22795;1.439095;288.3052;-0.001844172
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_351.jpg;0;1;0;3.660278;106.9331;60.01938;1.421367;288.2841;-0.001286739
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_418.jpg;0;1;0;3.699263;107.025;59.7373;1.424502;288.254;-0.001610274
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_484.jpg;-1.492845;1;0;3.737325;107.0943;59.52303;1.42646;288.1664;-0.001262042
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_552.jpg;-4.453779;1;0;3.788373;107.1627;59.30602;1.431918;287.824;-9.630638E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_56_617.jpg;-4.560317;1;0;3.826059;107.2511;59.01253;1.417805;286.9075;0.0003902273
